date	Total	TP	TN	FP	FN
2012-12	30533	3038	27466	6	23
2013-01	4991	467	4466	25	33
2013-02	3185	289	2856	9	31
2013-03	3365	278	3007	21	59
2013-04	3886	341	3491	6	48
2013-05	4865	431	4370	13	51
2013-06	3384	295	3035	11	43
2013-07	2520	227	2260	7	26
2013-08	2436	205	2178	16	37
2013-09	4984	418	4467	17	82
2013-10	4989	409	4466	24	90
2013-11	4972	369	4456	21	126
2013-12	4991	305	4464	28	194
2014-01	4983	349	4467	23	144
2014-02	4981	388	4464	22	107
2014-03	4983	357	4448	41	137
2014-04	4430	346	3960	30	94
2014-05	4985	411	4436	52	86
2014-06	4989	335	4429	62	163
2014-07	4994	325	4456	39	174
2014-08	4989	310	4455	38	186
2014-09	4250	301	3801	27	121
2014-10	4969	322	4432	48	167
2014-11	4975	393	4444	38	100
2014-12	4957	360	4443	21	133
2015-01	4931	361	4439	14	117
2015-02	4954	422	4448	24	60
2015-03	4939	388	4455	13	83
2015-04	4946	417	4465	14	50
2015-05	4934	374	4466	24	70
2015-06	4946	382	4477	12	75
2015-07	4824	362	4333	14	115
2015-08	3111	209	2797	8	97
2015-09	4959	280	4455	22	202
2015-10	4963	285	4462	26	190
2015-11	4975	135	4468	19	353
2015-12	4970	150	4467	22	331
2016-01	4931	327	4483	12	109
2016-02	4917	382	4462	21	52
2016-03	4950	391	4477	20	62
2016-04	4926	261	4469	25	171
2016-05	4968	401	4470	21	76
2016-06	4974	370	4454	28	122
2016-07	4970	379	4464	25	102
2016-08	4981	401	4455	29	96
2016-09	4965	377	4452	20	116
2016-10	4977	435	4460	25	57
2016-11	3327	213	2984	13	117
2016-12	3150	221	2831	12	86
2017-01	3410	269	3073	17	51
2017-02	3770	306	3385	17	62
2017-03	3596	251	3233	31	81
2017-04	1905	95	1743	7	60
2017-05	1265	64	1162	4	35
2017-06	1399	65	1281	5	48
2017-07	1871	152	1673	11	35
2017-08	2989	277	2683	10	19
2017-09	1764	144	1592	15	13
2017-10	2914	181	2681	12	40
2017-11	987	74	885	10	18
2017-12	1442	119	1304	13	6
2018-01	1836	133	1669	14	20
2018-02	1791	122	1641	5	23
2018-03	4765	231	4477	14	43
2018-04	2966	247	2668	17	34
2018-05	2478	207	2225	11	35
2018-06	4970	376	4478	14	102
2018-07	4983	395	4480	15	93
2018-08	2989	228	2690	8	63
2018-09	4953	319	4468	27	139
2018-10	4989	234	4478	18	259
2018-11	2984	203	2682	15	84
2018-12	2225	130	2027	5	63
