date	Correct	Wrong	Benign	Mal	New_fam_cnt	New_fam	Unique_fam
2013-01	157	43	144	56	8	tascudap,frebro,gedma,moavt,boqx,smsagent	gappusin,benign,gedma,kuguo,smsagent,opfake,moavt,airpush,fakeplayer,adware,jsmshider,fakeinst,adwo,smssend,plankton,exploit,boqx,fujacks,tascudap,youmi,frebro,fjcon,mobwin,wooboo
2013-02	174	26	73	127	0		benign,smssend,plankton,airpush,opfake,anforen,jsmshider,smsagent,adware,smsreg,fakeinst,ganlet,leadbolt,adwo,kuguo,domob,boqx,exploit,gappusin,mmarketpay,tascudap,ginmaster,cellagent
2013-03	151	49	94	106	7	feejar,skplanet,pincer,gdplugin,porfa,wifikill,cardserv	benign,wifikill,airpush,plankton,youmi,fakeangry,gappusin,adware,leadbolt,smssend,smsreg,adwo,smsagent,smskey,skplanet,fakeinst,viser,boqx,exploit,opfake,droiddreamlight,domob,nandrobox,porfa,feejar,pincer,kuguo,ginmaster,cardserv,gdplugin,pjapps,spybubble
2013-04	169	31	60	140	9	uuserv,dianjin,helos,badnews,smsir,perkel	badnews,benign,airpush,smssend,fakeplayer,smskey,fakeinst,adware,opfake,cardserv,adwo,smsir,ksapp,uuserv,perkel,helos,smsreg,jsmshider,smsagent,plankton,anforen,mmarketpay,youmi,ginmaster,unknown,kyview,kuguo,boqx,gdplugin,dowgin,execdownload,dianjin,gappusin,utchi,pincer,leadbolt
2013-05	170	30	47	153	12	igexin,wifle,smforw,faketoken,umpay,voxv,dianle,pushad,skymobi	exploit,smsreg,airpush,benign,kuguo,smskey,leadbolt,adware,faketoken,domob,smforw,ganlet,perkel,gappusin,pushad,feejar,umpay,plankton,smsagent,kyview,adwo,smssend,fakeinst,wifle,skymobi,igexin,wifikill,zitmo,opfake,voxv,dianle,imlog
2013-06	184	16	56	144	0		benign,kuguo,spybubble,adware,airpush,opfake,smssend,smforw,perkel,smsreg,jsmshider,feejar,fakeangry,domob,plankton,fakeinst,boqx,exploit,droiddreamlight,gappusin
2013-07	182	18	86	114	3	spyware,minimob,reptilicus	benign,smssend,adware,boqx,airpush,gappusin,reptilicus,kyview,kuguo,feejar,smsreg,smsagent,fakeinst,geinimi,opfake,smforw,spyware,plankton,mobiletx,unknown,minimob,jsmshider,umpay,smskey
2013-08	175	25	84	116	13	vietsms,qplus,mseg,tesbo,revmob,mogap,wateh,infosteal,badok,juzi	adware,ksapp,juzi,revmob,benign,gappusin,airpush,mseg,qplus,domob,kuguo,wateh,smsagent,fakeinst,smsreg,dowgin,kyview,boqx,badok,plankton,opfake,wifle,vietsms,mmarketpay,infosteal,perkel,tesbo,smssend,mogap
2013-09	176	24	55	145	10	admogo,sms,svpeng,clicks,ukyadpay,gumen,mspy,spam,ogel	benign,smsreg,mseg,spam,fakeangry,adware,airpush,gappusin,youmi,smssend,clicks,admogo,kuguo,fakeinst,gumen,minimob,dowgin,ukyadpay,skymobi,smsagent,smskey,sms,ogel,infosteal,boqx,nandrobox,svpeng,kyview,mspy,dianle,opfake
2013-10	177	23	64	136	3	masnu,wroba,goldentouch	adware,gappusin,benign,plankton,mseg,goldentouch,airpush,smskey,kuguo,youmi,boqx,dowgin,fakeangry,jsmshider,smssend,kyview,fakeinst,fakeplayer,smsagent,leadbolt,mmarketpay,skymobi,masnu,wroba,adwo,smsreg,nandrobox,ginmaster,svpeng,infosteal,opfake
