date	Total	TP	TN	FP	FN
2019-12	45489	4522	40943	4	20
2020-01	3318	321	2975	10	12
2020-02	4103	388	3695	2	18
2020-03	3667	342	3287	14	24
2020-04	3303	315	2959	7	22
2020-05	3797	344	3395	13	45
2020-06	1949	149	1748	4	48
2020-07	4826	45	4323	11	447
2020-08	4721	468	4221	9	23
2020-09	2729	88	2438	3	200
2020-10	1651	110	1475	6	60
2020-11	1273	77	1132	7	57
2020-12	3567	48	3180	7	332
2021-01	4151	51	3687	19	394
2021-02	403	23	360	2	18
2021-03	1215	43	1085	2	85
2021-04	692	44	617	2	29
2021-05	644	22	576	0	46
2021-06	459	19	413	2	25
2021-07	2503	203	2230	11	59
2021-08	1568	75	1387	8	98
2021-09	2095	142	1851	16	86
2021-10	1073	77	948	5	43
2021-11	477	43	415	8	11
2021-12	381	24	340	1	16
