date	Total	TP	TN	FP	FN
2019-12	45489	4522	40943	4	20
2020-01	3318	321	2975	10	12
2020-02	4103	392	3678	19	14
2020-03	3667	337	3291	10	29
2020-04	3303	257	2960	6	80
2020-05	3797	225	3395	13	164
2020-06	1949	144	1746	6	53
2020-07	4826	188	4323	11	304
2020-08	4721	461	4225	5	30
2020-09	2729	87	2435	6	201
2020-10	1651	68	1477	4	102
2020-11	1273	77	1133	6	57
2020-12	3567	52	3171	16	328
2021-01	4151	69	3693	13	376
2021-02	403	24	361	1	17
2021-03	1215	44	1086	1	84
2021-04	692	43	618	1	30
2021-05	644	22	576	0	46
2021-06	459	19	413	2	25
2021-07	2503	221	2234	7	41
2021-08	1568	109	1380	15	64
2021-09	2095	154	1828	39	74
2021-10	1073	78	933	20	42
2021-11	477	36	409	14	18
2021-12	381	25	336	5	15
