date	Total	TP	TN	FP	FN
2012-12	30533	2895	27457	15	166
2013-01	4991	461	4468	23	39
2013-02	3185	255	2857	8	65
2013-03	3365	270	3000	28	67
2013-04	3886	332	3492	5	57
2013-05	4865	380	4376	7	102
2013-06	3384	256	3035	11	82
2013-07	2520	218	2261	6	35
2013-08	2436	196	2186	8	46
2013-09	4984	416	4457	27	84
2013-10	4989	395	4454	36	104
2013-11	4972	352	4452	25	143
2013-12	4991	343	4476	16	156
2014-01	4983	339	4459	31	154
2014-02	4981	318	4467	19	177
2014-03	4983	321	4447	42	173
2014-04	4430	336	3952	38	104
2014-05	4985	409	4433	55	88
2014-06	4989	275	4422	69	223
2014-07	4994	232	4440	55	267
2014-08	4989	242	4418	75	254
2014-09	4250	286	3792	36	136
2014-10	4969	289	4436	44	200
2014-11	4975	344	4436	46	149
2014-12	4957	336	4438	26	157
2015-01	4931	355	4438	15	123
2015-02	4954	405	4446	26	77
2015-03	4939	370	4457	11	101
2015-04	4946	392	4454	25	75
2015-05	4934	371	4475	15	73
2015-06	4946	360	4473	16	97
2015-07	4824	332	4322	25	145
2015-08	3111	227	2790	15	79
2015-09	4959	283	4446	31	199
2015-10	4963	303	4457	31	172
2015-11	4975	136	4458	29	352
2015-12	4970	147	4464	25	334
2016-01	4931	331	4481	14	105
2016-02	4917	379	4457	26	55
2016-03	4950	390	4479	18	63
2016-04	4926	267	4456	38	165
2016-05	4968	349	4451	40	128
2016-06	4974	375	4449	33	117
2016-07	4970	386	4447	42	95
2016-08	4981	408	4447	37	89
2016-09	4965	389	4448	24	104
2016-10	4977	439	4455	30	53
2016-11	3327	301	2981	16	29
2016-12	3150	227	2825	18	80
2017-01	3410	268	3069	21	52
2017-02	3770	323	3381	21	45
2017-03	3596	248	3245	19	84
2017-04	1905	110	1736	14	45
2017-05	1265	69	1164	2	30
2017-06	1399	77	1282	4	36
2017-07	1871	148	1667	17	39
2017-08	2989	273	2665	28	23
2017-09	1764	142	1589	18	15
2017-10	2914	177	2680	13	44
2017-11	987	72	887	8	20
2017-12	1442	115	1288	29	10
2018-01	1836	129	1679	4	24
2018-02	1791	113	1636	10	32
2018-03	4765	225	4469	22	49
2018-04	2966	241	2662	23	40
2018-05	2478	212	2221	15	30
2018-06	4970	355	4477	15	123
2018-07	4983	386	4473	22	102
2018-08	2989	254	2675	23	37
2018-09	4953	314	4457	38	144
2018-10	4989	311	4473	23	182
2018-11	2984	204	2678	19	83
2018-12	2225	141	2008	24	52
