date	TPR	TNR	FPR	FNR	ACC	PREC	F1
2012-12	0.9458	0.9995	0.0005	0.0542	0.9941	0.9948	0.9697
2013-01	0.9220	0.9949	0.0051	0.0780	0.9876	0.9525	0.9370
2013-02	0.7844	0.9976	0.0024	0.2156	0.9761	0.9729	0.8685
2013-03	0.8279	0.9908	0.0092	0.1721	0.9744	0.9088	0.8665
2013-04	0.8483	0.9977	0.0023	0.1517	0.9828	0.9763	0.9078
2013-05	0.8797	0.9973	0.0027	0.1203	0.9856	0.9725	0.9237
2013-06	0.8580	0.9974	0.0026	0.1420	0.9835	0.9732	0.9119
2013-07	0.8775	0.9965	0.0035	0.1225	0.9845	0.9652	0.9193
2013-08	0.8430	0.9964	0.0036	0.1570	0.9811	0.9623	0.8987
2013-09	0.8700	0.9946	0.0054	0.1300	0.9821	0.9477	0.9072
2013-10	0.8196	0.9962	0.0038	0.1804	0.9786	0.9601	0.8843
2013-11	0.7697	0.9944	0.0056	0.2303	0.9720	0.9384	0.8457
2013-12	0.7495	0.9951	0.0049	0.2505	0.9705	0.9444	0.8358
2014-01	0.7586	0.9967	0.0033	0.2414	0.9731	0.9614	0.8481
2014-02	0.8384	0.9960	0.0040	0.1616	0.9803	0.9584	0.8944
2014-03	0.8117	0.9915	0.0085	0.1883	0.9737	0.9134	0.8596
2014-04	0.8045	0.9960	0.0040	0.1955	0.9770	0.9568	0.8741
2014-05	0.8410	0.9949	0.0051	0.1590	0.9795	0.9478	0.8913
2014-06	0.6406	0.9947	0.0053	0.3594	0.9593	0.9300	0.7586
2014-07	0.5291	0.9938	0.0062	0.4709	0.9473	0.9041	0.6675
2014-08	0.6714	0.9944	0.0056	0.3286	0.9623	0.9302	0.7799
2014-09	0.7701	0.9956	0.0044	0.2299	0.9732	0.9503	0.8508
2014-10	0.7239	0.9951	0.0049	0.2761	0.9684	0.9415	0.8185
2014-11	0.8174	0.9946	0.0054	0.1826	0.9771	0.9438	0.8761
