Month	New	Family	FNR	Cnt
2012-12	False	jifake	0.1	1
2012-12	False	penetho	0.5	2
2012-12	False	smsreg	0.047619047619047616	1
2012-12	False	buzztouch	1.0	1
2012-12	False	qmsg	1.0	1
2012-12	False	youmi	0.010309278350515464	1
2012-12	False	exploit	0.036585365853658534	3
2012-12	False	tool	0.16666666666666666	1
2012-12	False	dnotua	0.5	1
2012-12	False	stiniter	0.5	1
2012-12	False	imlog	0.5	1
2012-12	False	rediassi	1.0	2
2012-12	False	fakeinst	0.0013351134846461949	1
2012-12	False	usbcleaver	1.0	1
2012-12	False	droidsheep	1.0	1
2012-12	False	ackposts	1.0	1
2012-12	False	kuguo	0.025	1
2012-12	False	fujacks	0.3333333333333333	1
2012-12	False	droidkungfu	0.00558659217877095	1
2013-01	False	fakeinst	0.03125	2
2013-01	False	airpush	0.009009009009009009	2
2013-01	False	opfake	0.037037037037037035	1
2013-01	False	gappusin	0.25	2
2013-01	True	boqx	1.0	1
2013-01	True	moavt	1.0	1
2013-01	True	gedma	1.0	1
2013-01	False	adware	0.11864406779661017	7
2013-01	False	jsmshider	0.3333333333333333	1
2013-01	True	spyware	1.0	1
2013-01	True	gomanag	1.0	1
2013-01	False	exploit	0.1111111111111111	1
2013-01	True	umpay	1.0	2
2013-01	False	leadbolt	0.3333333333333333	1
2013-01	False	adwo	0.25	1
2013-01	False	viser	1.0	2
2013-01	True	smsagent	0.3333333333333333	1
2013-01	False	smssend	0.2	1
2013-01	True	frebro	1.0	1
2013-01	True	malapp	1.0	1
2013-01	False	kuguo	0.14285714285714285	1
2013-01	False	plankton	0.03125	1
2013-02	False	airpush	0.05042016806722689	6
2013-02	False	adware	0.05	2
2013-02	True	wifikill	1.0	2
2013-02	True	fakeguard	1.0	3
2013-02	False	smsreg	0.3333333333333333	2
2013-02	False	viser	1.0	1
2013-02	False	ginmaster	0.3333333333333333	1
2013-02	True	smsagent	0.5	2
2013-02	True	tascudap	0.5	1
2013-02	False	ganlet	1.0	2
2013-02	False	gappusin	0.16666666666666666	1
2013-02	False	smskey	0.8	4
2013-02	False	exploit	0.2857142857142857	2
2013-02	False	anforen	1.0	1
2013-02	False	domob	1.0	1
2013-02	False	smssend	0.3333333333333333	1
2013-02	False	kuguo	0.3333333333333333	1
2013-02	True	smsbomber	1.0	1
2013-03	False	fakeangry	1.0	1
2013-03	False	adware	0.07142857142857142	3
2013-03	False	droiddreamlight	1.0	5
2013-03	True	cardserv	1.0	1
2013-03	True	spyoo	1.0	1
2013-03	True	skplanet	1.0	1
2013-03	False	gappusin	0.25	2
2013-03	False	smssend	0.5	3
2013-03	False	opfake	0.05263157894736842	1
2013-03	False	mobilespy	1.0	1
2013-03	False	airpush	0.07692307692307693	9
2013-03	False	smskey	0.7272727272727273	8
2013-03	True	pincer	1.0	1
2013-03	True	wifikill	0.5	1
2013-03	True	iconosys	1.0	1
2013-03	False	leadbolt	0.6	3
2013-03	False	unknown	1.0	1
2013-03	True	bintal	1.0	1
2013-03	True	phosty	1.0	1
2013-03	False	youmi	0.3	3
2013-03	False	smsreg	0.3333333333333333	1
2013-03	False	exploit	0.5	1
2013-04	False	viser	1.0	2
2013-04	False	fakeinst	0.018867924528301886	2
2013-04	False	ksapp	0.5	1
2013-04	False	airpush	0.03260869565217391	3
2013-04	False	leadbolt	0.5	6
2013-04	False	zitmo	0.6666666666666666	2
2013-04	True	perkel	1.0	3
2013-04	False	smssend	0.36363636363636365	4
2013-04	False	plankton	0.043478260869565216	1
2013-04	False	gappusin	0.3333333333333333	2
2013-04	False	smsreg	0.09090909090909091	1
2013-04	True	uuserv	0.5	1
2013-04	True	revmob	1.0	1
2013-04	True	spyoo	1.0	1
2013-04	False	exploit	0.3333333333333333	1
2013-05	True	igexin	1.0	1
2013-05	False	airpush	0.051094890510948905	7
2013-05	False	smssend	0.16666666666666666	2
2013-05	True	tramp	1.0	1
2013-05	False	fakeinst	0.009009009009009009	1
2013-05	True	voxv	1.0	1
2013-05	True	gizmo	1.0	1
2013-05	False	adware	0.045454545454545456	2
2013-05	False	smsreg	0.2	5
2013-05	False	faketimer	1.0	1
2013-05	True	smforw	1.0	8
2013-05	True	spyoo	1.0	2
2013-05	False	execdownload	1.0	2
2013-05	False	rediassi	1.0	1
2013-05	True	smsagent	1.0	2
2013-05	False	unknown	0.5	1
2013-05	True	pushad	1.0	1
2013-05	False	domob	1.0	1
2013-05	False	leadbolt	0.14285714285714285	1
2013-05	False	smskey	0.14285714285714285	1
2013-05	True	spyset	1.0	1
2013-05	False	windows	1.0	1
2013-05	False	kuguo	0.2222222222222222	2
2013-05	False	exploit	0.25	1
2013-05	False	kyview	1.0	1
2013-05	True	anti	1.0	1
2013-06	False	shastrosms	1.0	1
2013-06	False	unknown	1.0	2
2013-06	False	kuguo	0.6666666666666666	4
2013-06	True	packed	0.5	1
2013-06	False	airpush	0.0375	3
2013-06	False	windows	1.0	1
2013-06	True	perkel	0.5	1
2013-06	False	adware	0.2608695652173913	6
2013-06	False	spybubble	0.5	1
2013-06	False	plankton	0.1111111111111111	2
2013-06	False	jsmshider	0.5	1
2013-06	False	droiddreamlight	1.0	1
2013-06	False	smssend	0.3333333333333333	2
2013-06	True	revmob	1.0	2
2013-06	True	vmvol	1.0	1
2013-06	False	smskey	0.5	4
2013-06	True	gonesixty	1.0	1
2013-06	False	basebridge	1.0	1
2013-06	False	exploit	0.5	1
2013-06	False	hipposms	1.0	1
2013-06	True	wifikill	1.0	1
2013-06	True	usatek	1.0	1
2013-06	False	youmi	0.3333333333333333	1
2013-06	True	sms	1.0	2
2013-07	True	sadstrot	1.0	1
2013-07	True	vmvol	1.0	3
2013-07	False	smsreg	0.08333333333333333	2
2013-07	False	airpush	0.1111111111111111	3
2013-07	False	smssend	0.16666666666666666	1
2013-07	False	smskey	0.6666666666666666	2
2013-07	True	mogap	1.0	1
2013-07	False	exploit	0.6666666666666666	2
2013-07	False	jsmshider	1.0	1
2013-07	True	spyware	1.0	2
2013-07	False	adware	0.046511627906976744	2
2013-07	False	mobiletx	1.0	1
2013-08	True	infosteal	0.5	1
2013-08	False	gappusin	0.09090909090909091	2
2013-08	False	opfake	0.38461538461538464	5
2013-08	False	androrat	1.0	1
2013-08	True	wateh	1.0	1
2013-08	False	airpush	0.23529411764705882	4
2013-08	True	qplus	1.0	1
2013-08	True	mseg	0.6	3
2013-08	False	imlog	1.0	1
2013-08	False	viser	1.0	1
2013-08	False	adware	0.04285714285714286	3
2013-08	False	smssend	0.2	1
2013-08	True	wroba	1.0	1
2013-08	True	phosty	1.0	1
2013-08	False	leadbolt	1.0	2
2013-08	True	smforw	1.0	1
2013-08	True	mogap	0.3333333333333333	1
2013-08	False	fakeinst	0.058823529411764705	2
2013-08	True	rogueware	1.0	1
2013-08	True	vietsms	1.0	1
2013-09	False	smsreg	0.4444444444444444	4
2013-09	False	youmi	0.08333333333333333	3
2013-09	False	smssend	0.7142857142857143	5
2013-09	False	adware	0.048	6
2013-09	False	exploit	0.5	2
2013-09	False	opfake	0.1875	3
2013-09	False	airpush	0.2571428571428571	18
2013-09	False	gappusin	0.05263157894736842	1
2013-09	False	nandrobox	0.14285714285714285	1
2013-09	False	dowgin	0.2857142857142857	2
2013-09	True	clicks	0.3333333333333333	1
2013-09	True	cardserv	1.0	2
2013-09	False	kyview	0.5	1
2013-09	True	packed	1.0	1
2013-09	True	vietsms	1.0	3
2013-09	False	fakeangry	0.6666666666666666	2
2013-09	True	systush	1.0	2
2013-09	False	fakeinst	0.03773584905660377	2
2013-09	True	spyset	1.0	1
2013-09	True	wificrack	1.0	1
2013-09	True	mseg	0.125	1
2013-09	True	fakekrb	1.0	1
2013-09	True	boqx	0.1111111111111111	1
