date	Total	TP	TN	FP	FN
2019-12	45489	4522	40943	4	20
2020-01	3318	321	2975	10	12
2020-02	4103	385	3691	6	21
2020-03	3667	332	3288	13	34
2020-04	3303	319	2956	10	18
2020-05	3797	316	3398	10	73
2020-06	1949	156	1745	7	41
2020-07	4826	292	4327	7	200
2020-08	4721	469	4222	8	22
2020-09	2729	161	2434	7	127
2020-10	1651	99	1472	9	71
2020-11	1273	83	1138	1	51
2020-12	3567	368	3181	6	12
2021-01	4151	67	3685	21	378
2021-02	403	22	361	1	19
2021-03	1215	95	1085	2	33
2021-04	692	55	617	2	18
2021-05	644	42	575	1	26
2021-06	459	26	414	1	18
2021-07	2503	225	2226	15	37
2021-08	1568	112	1386	9	61
2021-09	2095	163	1861	6	65
2021-10	1073	80	952	1	40
2021-11	477	40	419	4	14
2021-12	381	26	338	3	14
