date	Correct	Wrong	Benign	Mal	New_fam_cnt	New_fam	Unique_fam
2013-01	63	37	72	28	4	gedma,smsagent,moavt	gappusin,benign,gedma,kuguo,smsagent,opfake,moavt,airpush,fakeplayer,adware,jsmshider,fakeinst,adwo,smssend,plankton,exploit
2013-02	83	17	28	72	0		benign,smssend,plankton,airpush,opfake,anforen,jsmshider,smsagent,adware,smsreg,fakeinst,ganlet,leadbolt
2013-03	72	28	36	64	2	wifikill,skplanet	benign,wifikill,airpush,plankton,youmi,fakeangry,gappusin,adware,leadbolt,smssend,smsreg,adwo,smsagent,smskey,skplanet,fakeinst
2013-04	81	19	29	71	7	helos,badnews,uuserv,perkel,smsir,cardserv	badnews,benign,airpush,smssend,fakeplayer,smskey,fakeinst,adware,opfake,cardserv,adwo,smsir,ksapp,uuserv,perkel,helos,smsreg,jsmshider,smsagent,plankton
2013-05	85	15	24	76	10	wifle,pushad,faketoken,umpay,skymobi,feejar,smforw	exploit,smsreg,airpush,benign,kuguo,smskey,leadbolt,adware,faketoken,domob,smforw,ganlet,perkel,gappusin,pushad,feejar,umpay,plankton,smsagent,kyview,adwo,smssend,fakeinst,wifle,skymobi
2013-06	86	14	36	64	0		benign,kuguo,spybubble,adware,airpush,opfake,smssend,smforw,perkel,smsreg,jsmshider,feejar,fakeangry,domob,plankton,fakeinst
2013-07	89	11	32	68	4	boqx,reptilicus	benign,smssend,adware,boqx,airpush,gappusin,reptilicus,kyview,kuguo,feejar,smsreg,smsagent,fakeinst,geinimi,opfake
2013-08	89	11	32	68	7	mseg,qplus,wateh,badok,juzi,revmob	adware,ksapp,juzi,revmob,benign,gappusin,airpush,mseg,qplus,domob,kuguo,wateh,smsagent,fakeinst,smsreg,dowgin,kyview,boqx,badok,plankton,opfake,wifle
2013-09	83	17	22	78	7	gumen,minimob,spam,admogo,ukyadpay,clicks	benign,smsreg,mseg,spam,fakeangry,adware,airpush,gappusin,youmi,smssend,clicks,admogo,kuguo,fakeinst,gumen,minimob,dowgin,ukyadpay,skymobi,smsagent,smskey
2013-10	89	11	24	76	1	goldentouch	adware,gappusin,benign,plankton,mseg,goldentouch,airpush,smskey,kuguo,youmi,boqx,dowgin,fakeangry,jsmshider,smssend,kyview,fakeinst,fakeplayer,smsagent,leadbolt
