date	Correct	Wrong	Benign	Mal	New_fam_cnt	New_fam	Unique_fam
2013-01	352	48	292	108	12	tascudap,spyware,boqx,moavt,smsagent,umpay,frebro,gedma	gappusin,benign,gedma,kuguo,smsagent,opfake,moavt,airpush,fakeplayer,adware,jsmshider,fakeinst,adwo,smssend,plankton,exploit,boqx,fujacks,tascudap,youmi,frebro,fjcon,mobwin,wooboo,viser,penetho,spyware,domob,umpay,kmin
2013-02	362	38	216	184	4	adsms,fakeguard	benign,smssend,plankton,airpush,opfake,anforen,jsmshider,smsagent,adware,smsreg,fakeinst,ganlet,leadbolt,adwo,kuguo,domob,boqx,exploit,gappusin,mmarketpay,tascudap,ginmaster,cellagent,viser,fakeguard,smskey,youmi,zitmo,adsms
2013-03	345	55	235	165	9	pincer,bintal,phosty,porfa,wifikill,skplanet,gdplugin,cardserv,feejar	benign,wifikill,airpush,plankton,youmi,fakeangry,gappusin,adware,leadbolt,smssend,smsreg,adwo,smsagent,smskey,skplanet,fakeinst,viser,boqx,exploit,opfake,droiddreamlight,domob,nandrobox,porfa,feejar,pincer,kuguo,ginmaster,cardserv,gdplugin,pjapps,spybubble,bintal,phosty,fakeguard,unknown,wooboo,droidkungfu
2013-04	370	30	205	195	11	revmob,smsir,perkel,helos,uuserv,dianjin,faketoken,badnews	badnews,benign,airpush,smssend,fakeplayer,smskey,fakeinst,adware,opfake,cardserv,adwo,smsir,ksapp,uuserv,perkel,helos,smsreg,jsmshider,smsagent,plankton,anforen,mmarketpay,youmi,ginmaster,unknown,kyview,kuguo,boqx,gdplugin,dowgin,execdownload,dianjin,gappusin,utchi,pincer,leadbolt,spybubble,zitmo,faketoken,revmob,exploit,faketimer,fakeflash,droidkungfu
2013-05	355	45	175	225	18	voxv,wifle,smforw,spyoo,dianle,pushad,anti,smsspy,skymobi,igexin	exploit,smsreg,airpush,benign,kuguo,smskey,leadbolt,adware,faketoken,domob,smforw,ganlet,perkel,gappusin,pushad,feejar,umpay,plankton,smsagent,kyview,adwo,smssend,fakeinst,wifle,skymobi,igexin,wifikill,zitmo,opfake,voxv,dianle,imlog,anti,youmi,spyoo,androrat,smsthief,smsspy,unknown,ldpinch,fakeguard
2013-06	356	44	192	208	7	oveead,sms,uupay,packed,vidro,gonesixty	benign,kuguo,spybubble,adware,airpush,opfake,smssend,smforw,perkel,smsreg,jsmshider,feejar,fakeangry,domob,plankton,fakeinst,boqx,exploit,droiddreamlight,gappusin,sms,smskey,youmi,uupay,oveead,utchi,shastrosms,hipposms,leadbolt,zitmo,fakelogo,vidro,revmob,packed,gonesixty
2013-07	378	22	256	144	4	sadstrot,mogap,minimob,reptilicus	benign,smssend,adware,boqx,airpush,gappusin,reptilicus,kyview,kuguo,feejar,smsreg,smsagent,fakeinst,geinimi,opfake,smforw,spyware,plankton,mobiletx,unknown,minimob,jsmshider,umpay,smskey,domob,mogap,sadstrot,vidro,wooboo,kmin
2013-08	369	31	234	166	13	wateh,qplus,vietsms,uten,mseg,infosteal,badok,juzi,wroba,tesbo	adware,ksapp,juzi,revmob,benign,gappusin,airpush,mseg,qplus,domob,kuguo,wateh,smsagent,fakeinst,smsreg,dowgin,kyview,boqx,badok,plankton,opfake,wifle,vietsms,mmarketpay,infosteal,perkel,tesbo,smssend,mogap,phosty,youmi,mobiletx,ginmaster,uten,wroba,viser,fakedoc
2013-09	352	48	165	235	14	svpeng,systush,gumen,ansca,mspy,spam,ogel,admogo,fakekrb,clicks,ukyadpay	benign,smsreg,mseg,spam,fakeangry,adware,airpush,gappusin,youmi,smssend,clicks,admogo,kuguo,fakeinst,gumen,minimob,dowgin,ukyadpay,skymobi,smsagent,smskey,sms,ogel,infosteal,boqx,nandrobox,svpeng,kyview,mspy,dianle,opfake,systush,umpay,vietsms,exploit,jsmshider,fakekrb,viser,ansca,smforw,execdownload,domob
2013-10	350	50	147	253	10	ewind,douwan,goldentouch,cova,systemmonitor,masnu,rakys	adware,gappusin,benign,plankton,mseg,goldentouch,airpush,smskey,kuguo,youmi,boqx,dowgin,fakeangry,jsmshider,smssend,kyview,fakeinst,fakeplayer,smsagent,leadbolt,mmarketpay,skymobi,masnu,wroba,adwo,smsreg,nandrobox,ginmaster,svpeng,infosteal,opfake,cova,exploit,dianle,systemmonitor,viser,douwan,droiddreamlight,ewind,uupay,unknown,rakys,cardserv,revmob
2013-11	354	46	138	262	6	oldboot,fengvi,univert,wedo	airpush,adware,benign,youmi,spam,clicks,dowgin,kuguo,univert,gappusin,pushad,wedo,gumen,leadbolt,oldboot,fengvi,androrat,mseg,fakeinst,smssend,ksapp,nandrobox,smsagent,kyview,fakeangry,domob,adwo,boqx,infosteal,ginmaster,exploit,moavt,tesbo,smszombie,smsreg,smskey,opfake,minimob,smforw,ganlet
2013-12	356	44	175	225	4	secapk,adflex,trackplus,gepew	benign,kuguo,dianjin,airpush,adware,domob,gappusin,umpay,smsreg,youmi,leadbolt,dowgin,smforw,fujacks,skymobi,clicks,unknown,smssend,pushad,minimob,adflex,infosteal,smsagent,mseg,trackplus,dnotua,wooboo,appoffer,gumen,fakeinst,koomer,opfake,utchi,boqx,nandrobox,secapk,gepew,adwo
2014-01	343	57	142	258	7	cynos,fobus,stopsms,marcher,gidix	benign,smsreg,skymobi,airpush,minimob,youmi,gumen,adware,stopsms,gappusin,kuguo,smskey,ksapp,koomer,viser,appoffer,mseg,gidix,kyview,igexin,admogo,execdownload,dowgin,umpay,smssend,smsagent,fakeinst,adwo,leadbolt,infosteal,fakeangry,unknown,boqx,jsmshider,exploit,smforw,fobus,dianle,feejar,opfake,revmob,droidkungfu,utchi,cynos,secapk,ewind,dianjin,marcher
2014-02	371	29	150	250	4	zypush,quozha,wiyun	benign,adware,pushad,kuguo,dowgin,airpush,fakeangry,clicks,smsreg,ginmaster,viser,gappusin,smssend,adwo,youmi,igexin,smskey,mseg,zypush,smsagent,domob,vietsms,fakeinst,fobus,quozha,infosteal,skymobi,appoffer,dianle,wiyun,utchi,dianjin,unknown,ewind,packed
2014-03	361	39	174	226	3	shixot,tispy,plague	smssend,umpay,smsreg,kuguo,benign,airpush,cova,adware,smskey,mseg,stopsms,dowgin,leadbolt,kyview,youmi,sms,gappusin,fakeinst,appoffer,androrat,admogo,smsthief,igexin,smforw,infosteal,packed,plague,tispy,boqx,minimob,opfake,skymobi,domob,mmarketpay,unknown,shixot,clicks,exploit,fobus,nandrobox,viser,utchi
2014-04	363	37	157	243	9	tekwon,dials,cimsci,pandaad,helir,smcc,qysly	skymobi,pandaad,airpush,benign,smcc,qysly,smsreg,adware,dowgin,stopsms,smssend,gappusin,leadbolt,feejar,smsagent,helir,gidix,packed,exploit,systemmonitor,kuguo,dnotua,uapush,youmi,umpay,androrat,admogo,cimsci,unknown,dianjin,fakeinst,vietsms,spyware,smsspy,infosteal,minimob,nandrobox,plague,opfake,appoffer,mseg,dials,smskey,mmarketpay,smforw,boqx,tekwon,domob,marcher,utchi
