date	Correct	Wrong	Benign	Mal	New_fam_cnt	New_fam	Unique_fam
2013-01	15	35	21	29	3	stoqx,smsagent	benign,gappusin,adware,plankton,smsagent,fakeplayer,jsmshider,airpush,exploit,kuguo,stoqx,fjcon,fakeinst,smssend,fujacks,opfake
2013-02	41	9	6	44	0		domob,mmarketpay,adware,zitmo,smsagent,smssend,benign,ganlet,plankton,smsreg,gappusin,airpush,exploit,utchi,fakeinst
2013-03	35	15	17	33	1	cardserv	smsreg,benign,adwo,smskey,leadbolt,adware,youmi,spybubble,airpush,cardserv,exploit,smssend,jsmshider,fakeinst
2013-04	45	5	3	47	3	helos,uuserv,dianjin	fakeinst,ksapp,ginmaster,airpush,uuserv,benign,dowgin,anforen,dianjin,kuguo,smssend,youmi,faketimer,cardserv,spybubble,adware,plankton,smsreg,smsagent,unknown,leadbolt,kyview,exploit,helos
2013-05	38	12	6	44	2	igexin,dianle	exploit,kuguo,benign,airpush,zitmo,domob,gappusin,smsagent,ganlet,adware,dianle,unknown,igexin,smssend,plankton,smsreg,fakeinst
2013-06	42	8	5	45	1	oveead	airpush,domob,fakeinst,zitmo,benign,smssend,spybubble,smsreg,fakeangry,adware,kuguo,leadbolt,oveead
2013-07	45	5	6	44	2	boqx,spyware	benign,smsagent,boqx,adware,kuguo,unknown,smsreg,spyware,smssend,airpush,fakeinst,gappusin,exploit,domob,dianle
2013-08	41	9	6	44	1	wateh	plankton,benign,wateh,ksapp,adware,smsagent,gappusin,domob,smsreg,fakeinst,kuguo,airpush,opfake,dowgin,kyview,smssend
2013-09	46	4	10	40	2	clicks,svpeng	airpush,boqx,benign,youmi,fakeinst,adware,gappusin,smsagent,fakeangry,smsreg,clicks,kuguo,svpeng,exploit,nandrobox,smssend
2013-10	42	8	5	45	2	wroba,mseg	adware,airpush,mseg,benign,wroba,dowgin,smsreg,smssend,kuguo,fakeplayer,smsagent,fakeinst,youmi,unknown,smskey
2013-11	46	4	9	41	4	vidro,gumen	adware,gumen,dowgin,ginmaster,clicks,benign,kuguo,opfake,boqx,smsagent,smssend,fakeinst,mseg,ksapp,vidro
2013-12	43	7	5	45	8	pushad,minimob,umpay	fakeinst,smssend,adware,benign,dowgin,airpush,smsreg,umpay,pushad,gappusin,kuguo,minimob,clicks,unknown
2014-01	42	8	4	46	0		ksapp,smsreg,fakeinst,airpush,adware,gappusin,appoffer,leadbolt,benign,smsagent,kuguo,dianle,youmi,unknown
2014-02	46	4	7	43	1	zypush	opfake,dowgin,benign,adware,appoffer,kuguo,igexin,zypush,ginmaster,smsagent,fakeinst,adwo,smsreg,mseg,domob,airpush,clicks
2014-03	46	4	7	43	1	infosteal	airpush,adware,dowgin,opfake,benign,umpay,leadbolt,infosteal,smsreg,smssend,smskey,fakeinst,kuguo,kyview,unknown,appoffer,youmi
2014-04	40	10	11	39	5	helir,smforw,systemmonitor,skymobi	fakeinst,adware,smssend,skymobi,benign,youmi,smsagent,smsreg,airpush,smforw,exploit,systemmonitor,dnotua,spyware,helir,boqx
2014-05	41	9	15	35	2	qysly	adwo,smsreg,smsagent,benign,smssend,gappusin,fakeinst,qysly,youmi,opfake,adware,igexin,leadbolt,domob,airpush,utchi
2014-06	42	8	13	37	4	kimia,packed,gidix	benign,smsreg,umpay,dianle,kimia,adware,leadbolt,smforw,infosteal,gidix,smsagent,fakeinst,exploit,unknown,gappusin,kuguo,systemmonitor,smssend,airpush,packed,youmi,dowgin,mseg,utchi
2014-07	43	7	8	42	0		benign,youmi,smsreg,airpush,kimia,smssend,adware,umpay,gidix,smsagent,rooter,dowgin,appoffer,skymobi,igexin,unknown,utchi
