date	Total	TP	TN	FP	FN
2012-12	30533	3038	27466	6	23
2013-01	4991	467	4466	25	33
2013-02	3185	280	2854	11	40
2013-03	3365	273	2999	29	64
2013-04	3886	338	3489	8	51
2013-05	4865	389	4375	8	93
2013-06	3384	257	3028	18	81
2013-07	2520	217	2261	6	36
2013-08	2436	202	2184	10	40
2013-09	4984	410	4461	23	90
2013-10	4989	402	4462	28	97
2013-11	4972	355	4442	35	140
2013-12	4991	306	4472	20	193
2014-01	4983	320	4470	20	173
2014-02	4981	340	4464	22	155
2014-03	4983	315	4453	36	179
2014-04	4430	318	3958	32	122
2014-05	4985	391	4433	55	106
2014-06	4989	299	4457	34	199
2014-07	4994	232	4464	31	267
2014-08	4989	231	4457	36	265
2014-09	4250	291	3806	22	131
2014-10	4969	294	4430	50	195
2014-11	4975	333	4441	41	160
2014-12	4957	325	4451	13	168
2015-01	4931	346	4441	12	132
2015-02	4954	398	4449	23	84
2015-03	4939	371	4453	15	100
2015-04	4946	391	4464	15	76
2015-05	4934	364	4466	24	80
2015-06	4946	329	4474	15	128
2015-07	4824	336	4331	16	141
2015-08	3111	211	2794	11	95
2015-09	4959	268	4457	20	214
2015-10	4963	279	4473	15	196
2015-11	4975	116	4462	25	372
2015-12	4970	147	4463	26	334
2016-01	4931	305	4472	23	131
2016-02	4917	376	4462	21	58
2016-03	4950	367	4477	20	86
2016-04	4926	252	4464	30	180
2016-05	4968	353	4460	31	124
2016-06	4974	375	4458	24	117
2016-07	4970	379	4463	26	102
2016-08	4981	400	4459	25	97
2016-09	4965	396	4451	21	97
2016-10	4977	431	4453	32	61
2016-11	3327	211	2977	20	119
2016-12	3150	212	2824	19	95
2017-01	3410	261	3066	24	59
2017-02	3770	311	3382	20	57
2017-03	3596	243	3226	38	89
2017-04	1905	95	1727	23	60
2017-05	1265	60	1135	31	39
2017-06	1399	69	1275	11	44
2017-07	1871	141	1668	16	46
2017-08	2989	273	2664	29	23
2017-09	1764	135	1586	21	22
2017-10	2914	180	2680	13	41
2017-11	987	74	888	7	18
2017-12	1442	117	1299	18	8
2018-01	1836	133	1673	10	20
2018-02	1791	114	1638	8	31
2018-03	4765	227	4466	25	47
2018-04	2966	239	2657	28	42
2018-05	2478	207	2220	16	35
2018-06	4970	342	4477	15	136
2018-07	4983	379	4480	15	109
2018-08	2989	230	2684	14	61
2018-09	4953	319	4470	25	139
2018-10	4989	310	4476	20	183
2018-11	2984	205	2682	15	82
2018-12	2225	137	2021	11	56
