date	Total	TP	TN	FP	FN
2012-12	30533	2895	27457	15	166
2013-01	4991	461	4468	23	39
2013-02	3185	254	2860	5	66
2013-03	3365	262	3005	23	75
2013-04	3886	329	3493	4	60
2013-05	4865	381	4378	5	101
2013-06	3384	269	3040	6	69
2013-07	2520	207	2259	8	46
2013-08	2436	192	2189	5	50
2013-09	4984	411	4461	23	89
2013-10	4989	388	4454	36	111
2013-11	4972	349	4456	21	146
2013-12	4991	325	4474	18	174
2014-01	4983	330	4468	22	163
2014-02	4981	320	4463	23	175
2014-03	4983	302	4453	36	192
2014-04	4430	312	3954	36	128
2014-05	4985	380	4442	46	117
2014-06	4989	266	4449	42	232
2014-07	4994	221	4458	37	278
2014-08	4989	229	4460	33	267
2014-09	4250	279	3803	25	143
2014-10	4969	282	4443	37	207
2014-11	4975	310	4450	32	183
2014-12	4957	331	4443	21	162
2015-01	4931	335	4433	20	143
2015-02	4954	399	4430	42	83
2015-03	4939	328	4442	26	143
2015-04	4946	398	4454	25	69
2015-05	4934	348	4467	23	96
2015-06	4946	360	4467	22	97
2015-07	4824	336	4323	24	141
2015-08	3111	217	2790	15	89
2015-09	4959	270	4445	32	212
2015-10	4963	285	4457	31	190
2015-11	4975	126	4464	23	362
2015-12	4970	143	4460	29	338
2016-01	4931	315	4474	21	121
2016-02	4917	368	4451	32	66
2016-03	4950	379	4478	19	74
2016-04	4926	223	4451	43	209
2016-05	4968	313	4457	34	164
2016-06	4974	372	4452	30	120
2016-07	4970	394	4452	37	87
2016-08	4981	402	4453	31	95
2016-09	4965	392	4445	27	101
2016-10	4977	394	4448	37	98
2016-11	3327	202	2971	26	128
2016-12	3150	219	2823	20	88
2017-01	3410	254	3062	28	66
2017-02	3770	298	3382	20	70
2017-03	3596	237	3237	27	95
2017-04	1905	98	1724	26	57
2017-05	1265	61	1151	15	38
2017-06	1399	69	1280	6	44
2017-07	1871	141	1668	16	46
2017-08	2989	272	2660	33	24
2017-09	1764	133	1588	19	24
2017-10	2914	174	2677	16	47
2017-11	987	71	887	8	21
2017-12	1442	111	1284	33	14
2018-01	1836	127	1671	12	26
2018-02	1791	102	1630	16	43
2018-03	4765	220	4466	25	54
2018-04	2966	236	2648	37	45
2018-05	2478	213	2223	13	29
2018-06	4970	332	4478	14	146
2018-07	4983	387	4470	25	101
2018-08	2989	230	2676	22	61
2018-09	4953	311	4458	37	147
2018-10	4989	299	4451	45	194
2018-11	2984	198	2674	23	89
2018-12	2225	141	2022	10	52
