date	TPR	TNR	FPR	FNR	ACC	PREC	F1
2019-12	0.9956	0.9999	0.0001	0.0044	0.9995	0.9991	0.9974
2020-01	0.9640	0.9966	0.0034	0.0360	0.9934	0.9698	0.9669
2020-02	0.9483	0.9984	0.0016	0.0517	0.9934	0.9847	0.9661
2020-03	0.9071	0.9961	0.0039	0.0929	0.9872	0.9623	0.9339
2020-04	0.9466	0.9966	0.0034	0.0534	0.9915	0.9696	0.9580
2020-05	0.8123	0.9971	0.0029	0.1877	0.9781	0.9693	0.8839
2020-06	0.7919	0.9960	0.0040	0.2081	0.9754	0.9571	0.8667
2020-07	0.5935	0.9984	0.0016	0.4065	0.9571	0.9766	0.7383
2020-08	0.9552	0.9981	0.0019	0.0448	0.9936	0.9832	0.9690
2020-09	0.5590	0.9971	0.0029	0.4410	0.9509	0.9583	0.7061
2020-10	0.5824	0.9939	0.0061	0.4176	0.9515	0.9167	0.7122
2020-11	0.6194	0.9991	0.0009	0.3806	0.9592	0.9881	0.7615
2020-12	0.9684	0.9981	0.0019	0.0316	0.9950	0.9840	0.9761
2021-01	0.1506	0.9943	0.0057	0.8494	0.9039	0.7614	0.2514
2021-02	0.5366	0.9972	0.0028	0.4634	0.9504	0.9565	0.6875
2021-03	0.7422	0.9982	0.0018	0.2578	0.9712	0.9794	0.8444
2021-04	0.7534	0.9968	0.0032	0.2466	0.9711	0.9649	0.8462
2021-05	0.6176	0.9983	0.0017	0.3824	0.9581	0.9767	0.7568
2021-06	0.5909	0.9976	0.0024	0.4091	0.9586	0.9630	0.7324
2021-07	0.8588	0.9933	0.0067	0.1412	0.9792	0.9375	0.8964
2021-08	0.6474	0.9935	0.0065	0.3526	0.9554	0.9256	0.7619
2021-09	0.7149	0.9968	0.0032	0.2851	0.9661	0.9645	0.8212
2021-10	0.6667	0.9990	0.0010	0.3333	0.9618	0.9877	0.7960
2021-11	0.7407	0.9905	0.0095	0.2593	0.9623	0.9091	0.8163
2021-12	0.6500	0.9912	0.0088	0.3500	0.9554	0.8966	0.7536
