date	TPR	TNR	FPR	FNR	ACC	PREC	F1
2019-12	0.9956	0.9999	0.0001	0.0044	0.9995	0.9991	0.9974
2020-01	0.9640	0.9966	0.0034	0.0360	0.9934	0.9698	0.9669
2020-02	0.9655	0.9949	0.0051	0.0345	0.9920	0.9538	0.9596
2020-03	0.9208	0.9970	0.0030	0.0792	0.9894	0.9712	0.9453
2020-04	0.7626	0.9980	0.0020	0.2374	0.9740	0.9772	0.8567
2020-05	0.5784	0.9962	0.0038	0.4216	0.9534	0.9454	0.7177
2020-06	0.7310	0.9966	0.0034	0.2690	0.9697	0.9600	0.8300
2020-07	0.3821	0.9975	0.0025	0.6179	0.9347	0.9447	0.5441
2020-08	0.9389	0.9988	0.0012	0.0611	0.9926	0.9893	0.9634
2020-09	0.3021	0.9975	0.0025	0.6979	0.9241	0.9355	0.4567
2020-10	0.4000	0.9973	0.0027	0.6000	0.9358	0.9444	0.5620
2020-11	0.5746	0.9947	0.0053	0.4254	0.9505	0.9277	0.7097
2020-12	0.1368	0.9950	0.0050	0.8632	0.9036	0.7647	0.2321
2021-01	0.1551	0.9965	0.0035	0.8449	0.9063	0.8415	0.2619
2021-02	0.5854	0.9972	0.0028	0.4146	0.9553	0.9600	0.7273
2021-03	0.3438	0.9991	0.0009	0.6562	0.9300	0.9778	0.5087
2021-04	0.5890	0.9984	0.0016	0.4110	0.9552	0.9773	0.7350
2021-05	0.3235	1.0000	0.0000	0.6765	0.9286	1.0000	0.4889
2021-06	0.4318	0.9952	0.0048	0.5682	0.9412	0.9048	0.5846
2021-07	0.8435	0.9969	0.0031	0.1565	0.9808	0.9693	0.9020
2021-08	0.6301	0.9892	0.0108	0.3699	0.9496	0.8790	0.7340
2021-09	0.6754	0.9791	0.0209	0.3246	0.9461	0.7979	0.7316
2021-10	0.6500	0.9790	0.0210	0.3500	0.9422	0.7959	0.7156
2021-11	0.6667	0.9669	0.0331	0.3333	0.9329	0.7200	0.6923
2021-12	0.6250	0.9853	0.0147	0.3750	0.9475	0.8333	0.7143
