date	TPR	TNR	FPR	FNR	ACC	PREC	F1
2012-12	0.9458	0.9995	0.0005	0.0542	0.9941	0.9948	0.9697
2013-01	0.9220	0.9949	0.0051	0.0780	0.9876	0.9525	0.9370
2013-02	0.7937	0.9983	0.0017	0.2062	0.9777	0.9807	0.8774
2013-03	0.7774	0.9924	0.0076	0.2226	0.9709	0.9193	0.8424
2013-04	0.8458	0.9989	0.0011	0.1542	0.9835	0.9880	0.9114
2013-05	0.7905	0.9989	0.0011	0.2095	0.9782	0.9870	0.8779
2013-06	0.7959	0.9980	0.0020	0.2041	0.9778	0.9782	0.8777
2013-07	0.8182	0.9965	0.0035	0.1818	0.9786	0.9628	0.8846
2013-08	0.7934	0.9977	0.0023	0.2066	0.9774	0.9746	0.8747
2013-09	0.8220	0.9949	0.0051	0.1780	0.9775	0.9470	0.8801
2013-10	0.7776	0.9920	0.0080	0.2224	0.9705	0.9151	0.8407
2013-11	0.7051	0.9953	0.0047	0.2949	0.9664	0.9432	0.8069
2013-12	0.6513	0.9960	0.0040	0.3487	0.9615	0.9475	0.7720
2014-01	0.6694	0.9951	0.0049	0.3306	0.9629	0.9375	0.7811
2014-02	0.6465	0.9949	0.0051	0.3535	0.9602	0.9329	0.7637
2014-03	0.6113	0.9920	0.0080	0.3887	0.9542	0.8935	0.7260
2014-04	0.7091	0.9910	0.0090	0.2909	0.9630	0.8966	0.7919
2014-05	0.7646	0.9898	0.0102	0.2354	0.9673	0.8920	0.8234
2014-06	0.5341	0.9906	0.0094	0.4659	0.9451	0.8636	0.6600
2014-07	0.4429	0.9918	0.0082	0.5571	0.9369	0.8566	0.5839
2014-08	0.4617	0.9927	0.0073	0.5383	0.9399	0.8740	0.6042
2014-09	0.6611	0.9935	0.0065	0.3389	0.9605	0.9178	0.7686
2014-10	0.5767	0.9917	0.0083	0.4233	0.9509	0.8840	0.6980
2014-11	0.6288	0.9929	0.0071	0.3712	0.9568	0.9064	0.7425
