date	TPR	TNR	FPR	FNR	ACC	PREC	F1
2012-12	0.9925	0.9998	0.0002	0.0075	0.9991	0.9980	0.9952
2013-01	0.9340	0.9944	0.0056	0.0660	0.9884	0.9492	0.9415
2013-02	0.8750	0.9962	0.0038	0.1250	0.9840	0.9622	0.9165
2013-03	0.8101	0.9904	0.0096	0.1899	0.9724	0.9040	0.8545
2013-04	0.8689	0.9977	0.0023	0.1311	0.9848	0.9769	0.9197
2013-05	0.8071	0.9982	0.0018	0.1929	0.9792	0.9798	0.8851
2013-06	0.7604	0.9941	0.0059	0.2396	0.9707	0.9345	0.8385
2013-07	0.8577	0.9974	0.0026	0.1423	0.9833	0.9731	0.9118
2013-08	0.8347	0.9954	0.0046	0.1653	0.9795	0.9528	0.8899
2013-09	0.8200	0.9949	0.0051	0.1800	0.9773	0.9469	0.8789
2013-10	0.8056	0.9938	0.0062	0.1944	0.9749	0.9349	0.8654
2013-11	0.7172	0.9922	0.0078	0.2828	0.9648	0.9103	0.8023
2013-12	0.6132	0.9955	0.0045	0.3868	0.9573	0.9387	0.7418
2014-01	0.6491	0.9955	0.0045	0.3509	0.9613	0.9412	0.7683
2014-02	0.6869	0.9951	0.0049	0.3131	0.9645	0.9392	0.7935
2014-03	0.6377	0.9920	0.0080	0.3623	0.9569	0.8974	0.7456
2014-04	0.7227	0.9920	0.0080	0.2773	0.9652	0.9086	0.8051
2014-05	0.7867	0.9877	0.0123	0.2133	0.9677	0.8767	0.8293
2014-06	0.6004	0.9924	0.0076	0.3996	0.9533	0.8979	0.7196
2014-07	0.4649	0.9931	0.0069	0.5351	0.9403	0.8821	0.6089
2014-08	0.4657	0.9920	0.0080	0.5343	0.9397	0.8652	0.6055
2014-09	0.6896	0.9943	0.0057	0.3104	0.9640	0.9297	0.7918
2014-10	0.6012	0.9888	0.0112	0.3988	0.9507	0.8547	0.7059
2014-11	0.6755	0.9909	0.0091	0.3245	0.9596	0.8904	0.7682
2014-12	0.6592	0.9971	0.0029	0.3408	0.9635	0.9615	0.7822
2015-01	0.7238	0.9973	0.0027	0.2762	0.9708	0.9665	0.8278
2015-02	0.8257	0.9949	0.0051	0.1743	0.9784	0.9454	0.8815
2015-03	0.7877	0.9966	0.0034	0.2123	0.9767	0.9611	0.8658
2015-04	0.8373	0.9967	0.0033	0.1627	0.9816	0.9631	0.8958
2015-05	0.8198	0.9947	0.0053	0.1802	0.9789	0.9381	0.8750
2015-06	0.7199	0.9967	0.0033	0.2801	0.9711	0.9564	0.8215
2015-07	0.7044	0.9963	0.0037	0.2956	0.9675	0.9545	0.8106
2015-08	0.6895	0.9961	0.0039	0.3105	0.9659	0.9505	0.7992
2015-09	0.5560	0.9955	0.0045	0.4440	0.9528	0.9306	0.6961
2015-10	0.5874	0.9967	0.0033	0.4126	0.9575	0.9490	0.7256
2015-11	0.2377	0.9944	0.0056	0.7623	0.9202	0.8227	0.3688
2015-12	0.3056	0.9942	0.0058	0.6944	0.9276	0.8497	0.4495
2016-01	0.6995	0.9949	0.0051	0.3005	0.9688	0.9299	0.7984
2016-02	0.8664	0.9953	0.0047	0.1336	0.9839	0.9471	0.9049
