date	Correct	Wrong	Benign	Mal	New_fam_cnt	New_fam	Unique_fam
2013-01	59	41	56	44	5	tascudap,smsagent,gedma,stoqx	benign,gappusin,adware,plankton,smsagent,fakeplayer,jsmshider,airpush,exploit,kuguo,stoqx,fjcon,fakeinst,smssend,fujacks,opfake,gedma,wooboo,tascudap
2013-02	66	34	8	92	0		domob,mmarketpay,adware,zitmo,smsagent,smssend,benign,ganlet,plankton,smsreg,gappusin,airpush,exploit,utchi,fakeinst,cellagent,opfake,jsmshider
2013-03	69	31	31	69	2	skplanet,cardserv	smsreg,benign,adwo,smskey,leadbolt,adware,youmi,spybubble,airpush,cardserv,exploit,smssend,jsmshider,fakeinst,gappusin,smsagent,skplanet,nandrobox,domob,kuguo
2013-04	87	13	11	89	7	perkel,smsir,uuserv,helos,revmob,badnews,dianjin	fakeinst,ksapp,ginmaster,airpush,uuserv,benign,dowgin,anforen,dianjin,kuguo,smssend,youmi,faketimer,cardserv,spybubble,adware,plankton,smsreg,smsagent,unknown,leadbolt,kyview,exploit,helos,badnews,revmob,opfake,smsir,fakeplayer,perkel,smskey
2013-05	81	19	10	90	3	dianle,smforw,igexin	exploit,kuguo,benign,airpush,zitmo,domob,gappusin,smsagent,ganlet,adware,dianle,unknown,igexin,smssend,plankton,smsreg,fakeinst,smforw,leadbolt
2013-06	93	7	5	95	1	oveead	airpush,domob,fakeinst,zitmo,benign,smssend,spybubble,smsreg,fakeangry,adware,kuguo,leadbolt,oveead,opfake
2013-07	85	15	28	72	6	reptilicus,spyware,boqx,umpay,vidro,minimob	benign,smsagent,boqx,adware,kuguo,unknown,smsreg,spyware,smssend,airpush,fakeinst,gappusin,exploit,domob,dianle,kyview,smforw,umpay,reptilicus,vidro,mobiletx,plankton,geinimi,minimob
2013-08	81	19	18	82	6	badok,wateh,qplus,mseg,vietsms,juzi	plankton,benign,wateh,ksapp,adware,smsagent,gappusin,domob,smsreg,fakeinst,kuguo,airpush,opfake,dowgin,kyview,smssend,qplus,vietsms,juzi,mseg,badok,boqx,revmob,perkel
2013-09	89	11	14	86	3	svpeng,clicks,gumen	airpush,boqx,benign,youmi,fakeinst,adware,gappusin,smsagent,fakeangry,smsreg,clicks,kuguo,svpeng,exploit,nandrobox,smssend,gumen,opfake
2013-10	91	9	7	93	2	wroba,skymobi	adware,airpush,mseg,benign,wroba,dowgin,smsreg,smssend,kuguo,fakeplayer,smsagent,fakeinst,youmi,unknown,smskey,svpeng,utchi,revmob,nandrobox,boqx,skymobi
