date	TPR	TNR	FPR	FNR	ACC	PREC	F1
2012-12	0.9925	0.9998	0.0002	0.0075	0.9991	0.9980	0.9952
2013-01	0.9340	0.9944	0.0056	0.0660	0.9884	0.9492	0.9415
2013-02	0.8219	0.9969	0.0031	0.1781	0.9793	0.9669	0.8885
2013-03	0.8071	0.9927	0.0073	0.1929	0.9741	0.9252	0.8621
2013-04	0.8766	0.9960	0.0040	0.1234	0.9840	0.9606	0.9167
2013-05	0.8112	0.9982	0.0018	0.1888	0.9797	0.9799	0.8876
2013-06	0.8136	0.9951	0.0049	0.1864	0.9770	0.9483	0.8758
2013-07	0.8340	0.9974	0.0026	0.1660	0.9810	0.9724	0.8979
2013-08	0.8306	0.9954	0.0046	0.1694	0.9791	0.9526	0.8874
2013-09	0.8020	0.9949	0.0051	0.1980	0.9755	0.9458	0.8680
2013-10	0.7495	0.9929	0.0071	0.2505	0.9685	0.9212	0.8265
2013-11	0.7071	0.9926	0.0074	0.2929	0.9642	0.9138	0.7973
2013-12	0.6112	0.9949	0.0051	0.3888	0.9565	0.9299	0.7376
2014-01	0.6146	0.9935	0.0065	0.3854	0.9561	0.9127	0.7345
2014-02	0.7192	0.9953	0.0047	0.2808	0.9679	0.9443	0.8165
2014-03	0.6113	0.9924	0.0076	0.3887	0.9546	0.8988	0.7277
2014-04	0.5818	0.9922	0.0078	0.4182	0.9515	0.8920	0.7043
2014-05	0.7163	0.9922	0.0078	0.2837	0.9647	0.9105	0.8018
2014-06	0.5361	0.9929	0.0071	0.4639	0.9473	0.8930	0.6700
2014-07	0.4289	0.9942	0.0058	0.5711	0.9377	0.8917	0.5792
2014-08	0.4294	0.9924	0.0076	0.5706	0.9365	0.8623	0.5734
2014-09	0.6445	0.9945	0.0055	0.3555	0.9598	0.9283	0.7608
2014-10	0.5624	0.9940	0.0060	0.4376	0.9515	0.9106	0.6953
2014-11	0.6450	0.9929	0.0071	0.3550	0.9584	0.9086	0.7544
2014-12	0.6471	0.9944	0.0056	0.3529	0.9599	0.9273	0.7622
2015-01	0.6757	0.9962	0.0038	0.3243	0.9651	0.9500	0.7897
2015-02	0.7261	0.9958	0.0042	0.2739	0.9695	0.9485	0.8226
2015-03	0.6858	0.9964	0.0036	0.3142	0.9668	0.9528	0.7975
2015-04	0.8201	0.9955	0.0045	0.1799	0.9790	0.9504	0.8805
2015-05	0.7793	0.9953	0.0047	0.2207	0.9759	0.9428	0.8533
2015-06	0.5842	0.9978	0.0022	0.4158	0.9596	0.9639	0.7275
2015-07	0.6667	0.9965	0.0035	0.3333	0.9639	0.9550	0.7852
2015-08	0.6275	0.9971	0.0029	0.3725	0.9608	0.9600	0.7589
2015-09	0.5104	0.9969	0.0031	0.4896	0.9496	0.9462	0.6631
2015-10	0.5074	0.9955	0.0045	0.4926	0.9488	0.9234	0.6549
2015-11	0.2213	0.9958	0.0042	0.7787	0.9198	0.8504	0.3512
2015-12	0.2973	0.9942	0.0058	0.7027	0.9268	0.8462	0.4400
2016-01	0.6399	0.9978	0.0022	0.3601	0.9661	0.9654	0.7697
2016-02	0.7604	0.9942	0.0058	0.2396	0.9736	0.9270	0.8354
