date	Correct	Wrong	Benign	Mal	New_fam_cnt	New_fam	Unique_fam
2013-01	151	49	123	77	9	stoqx,frebro,boqx,smsagent,gedma,tascudap	benign,gappusin,adware,plankton,smsagent,fakeplayer,jsmshider,airpush,exploit,kuguo,stoqx,fjcon,fakeinst,smssend,fujacks,opfake,gedma,wooboo,tascudap,domob,boqx,frebro,adwo
2013-02	150	50	61	139	3	fakeguard	domob,mmarketpay,adware,zitmo,smsagent,smssend,benign,ganlet,plankton,smsreg,gappusin,airpush,exploit,utchi,fakeinst,cellagent,opfake,jsmshider,tascudap,viser,leadbolt,kuguo,smskey,fakeguard,anforen
2013-03	144	56	84	116	5	phosty,pincer,skplanet,cardserv,gdplugin	smsreg,benign,adwo,smskey,leadbolt,adware,youmi,spybubble,airpush,cardserv,exploit,smssend,jsmshider,fakeinst,gappusin,smsagent,skplanet,nandrobox,domob,kuguo,unknown,droiddreamlight,pincer,mobilespy,gdplugin,basebridge,plankton,ginmaster,pjapps,boqx,phosty
2013-04	161	39	51	149	11	helos,perkel,dianjin,faketoken,smsir,revmob,badnews,uuserv	fakeinst,ksapp,ginmaster,airpush,uuserv,benign,dowgin,anforen,dianjin,kuguo,smssend,youmi,faketimer,cardserv,spybubble,adware,plankton,smsreg,smsagent,unknown,leadbolt,kyview,exploit,helos,badnews,revmob,opfake,smsir,fakeplayer,perkel,smskey,fakeflash,gappusin,adwo,gdplugin,pincer,mmarketpay,zitmo,faketoken,utchi,boqx
2013-05	174	26	36	164	10	pushad,aiplay,igexin,dianle,smforw,umpay	exploit,kuguo,benign,airpush,zitmo,domob,gappusin,smsagent,ganlet,adware,dianle,unknown,igexin,smssend,plankton,smsreg,fakeinst,smforw,leadbolt,perkel,umpay,pushad,androrat,opfake,imlog,smskey,adwo,aiplay
2013-06	180	20	41	159	4	oveead,sms,vidro	airpush,domob,fakeinst,zitmo,benign,smssend,spybubble,smsreg,fakeangry,adware,kuguo,leadbolt,oveead,opfake,sms,boqx,plankton,smforw,smskey,adwo,perkel,vidro,fakelogo,utchi,exploit,youmi,nickyspy
2013-07	179	21	58	142	4	minimob,spyware,mogap,reptilicus	benign,smsagent,boqx,adware,kuguo,unknown,smsreg,spyware,smssend,airpush,fakeinst,gappusin,exploit,domob,dianle,kyview,smforw,umpay,reptilicus,vidro,mobiletx,plankton,geinimi,minimob,opfake,mogap,wooboo
2013-08	177	23	66	134	9	badok,mseg,vietsms,tesbo,wateh,wifle,juzi,qplus	plankton,benign,wateh,ksapp,adware,smsagent,gappusin,domob,smsreg,fakeinst,kuguo,airpush,opfake,dowgin,kyview,smssend,qplus,vietsms,juzi,mseg,badok,boqx,revmob,perkel,fakedoc,androrat,mogap,phosty,ginmaster,tesbo,youmi,mobiletx,wifle
2013-09	163	37	43	157	5	svpeng,clicks,gumen,ukyadpay	airpush,boqx,benign,youmi,fakeinst,adware,gappusin,smsagent,fakeangry,smsreg,clicks,kuguo,svpeng,exploit,nandrobox,smssend,gumen,opfake,ukyadpay,vietsms,smskey,dianle,jsmshider,minimob,smforw,kyview,ginmaster,wooboo,mseg,dowgin,unknown
2013-10	175	25	42	158	10	systemmonitor,goldentouch,skymobi,wroba,douwan,masnu,cova	adware,airpush,mseg,benign,wroba,dowgin,smsreg,smssend,kuguo,fakeplayer,smsagent,fakeinst,youmi,unknown,smskey,svpeng,utchi,revmob,nandrobox,boqx,skymobi,gappusin,fakeangry,umpay,plankton,cova,vidro,exploit,leadbolt,systemmonitor,douwan,masnu,domob,dianle,androrat,goldentouch
2013-11	167	33	33	167	2	wedo,infosteal	adware,gumen,dowgin,ginmaster,clicks,benign,kuguo,opfake,boqx,smsagent,smssend,fakeinst,mseg,ksapp,vidro,gappusin,airpush,infosteal,youmi,utchi,unknown,leadbolt,nandrobox,smszombie,tesbo,wedo,minimob,kyview,smforw
2013-12	174	26	40	160	0		fakeinst,smssend,adware,benign,dowgin,airpush,smsreg,umpay,pushad,gappusin,kuguo,minimob,clicks,unknown,smsagent,youmi,utchi,appoffer,dianjin,opfake,cardserv,fujacks,domob,smforw,wooboo,adwo,mseg,infosteal
2014-01	167	33	28	172	5	gidix,stopsms,cynos	ksapp,smsreg,fakeinst,airpush,adware,gappusin,appoffer,leadbolt,benign,smsagent,kuguo,dianle,youmi,unknown,mseg,droidkungfu,infosteal,exploit,utchi,cynos,dowgin,opfake,skymobi,nandrobox,minimob,gidix,fakeangry,kyview,stopsms,igexin,smssend,smskey,smsthief,adwo
2014-02	186	14	30	170	2	fobus,zypush	opfake,dowgin,benign,adware,appoffer,kuguo,igexin,zypush,ginmaster,smsagent,fakeinst,adwo,smsreg,mseg,domob,airpush,clicks,utchi,dianle,fakeangry,youmi,gappusin,fobus,skymobi,smssend,vietsms,androrat
2014-03	177	23	43	157	3	admogo,tispy,packed	airpush,adware,dowgin,opfake,benign,umpay,leadbolt,infosteal,smsreg,smssend,smskey,fakeinst,kuguo,kyview,unknown,appoffer,youmi,gappusin,minimob,utchi,androrat,cova,mseg,packed,admogo,stopsms,sms,smsthief,smforw,mmarketpay,igexin,clicks,adwo,tispy
