date	TPR	TNR	FPR	FNR	ACC	PREC	F1
2012-12	0.9458	0.9995	0.0005	0.0542	0.9941	0.9948	0.9697
2013-01	0.9220	0.9949	0.0051	0.0780	0.9876	0.9525	0.9370
2013-02	0.8187	0.9965	0.0035	0.1812	0.9786	0.9632	0.8851
2013-03	0.8220	0.9917	0.0083	0.1780	0.9747	0.9172	0.8670
2013-04	0.8740	0.9974	0.0026	0.1260	0.9851	0.9742	0.9214
2013-05	0.8900	0.9979	0.0021	0.1100	0.9873	0.9795	0.9326
2013-06	0.8432	0.9984	0.0016	0.1568	0.9829	0.9828	0.9076
2013-07	0.8696	0.9969	0.0031	0.1304	0.9841	0.9692	0.9167
2013-08	0.8719	0.9964	0.0036	0.1281	0.9840	0.9635	0.9154
2013-09	0.8380	0.9955	0.0045	0.1620	0.9797	0.9544	0.8924
2013-10	0.7896	0.9955	0.0045	0.2104	0.9749	0.9517	0.8631
2013-11	0.7374	0.9944	0.0056	0.2626	0.9688	0.9359	0.8249
2013-12	0.6814	0.9951	0.0049	0.3186	0.9637	0.9392	0.7898
2014-01	0.7241	0.9964	0.0036	0.2759	0.9695	0.9571	0.8245
2014-02	0.6990	0.9951	0.0049	0.3010	0.9657	0.9402	0.8019
2014-03	0.7065	0.9902	0.0098	0.2935	0.9621	0.8880	0.7869
2014-04	0.7818	0.9905	0.0095	0.2182	0.9698	0.9005	0.8370
2014-05	0.8249	0.9909	0.0091	0.1751	0.9743	0.9091	0.8650
2014-06	0.6285	0.9933	0.0067	0.3715	0.9569	0.9125	0.7444
2014-07	0.5010	0.9907	0.0093	0.4990	0.9417	0.8562	0.6321
2014-08	0.5262	0.9898	0.0102	0.4738	0.9437	0.8502	0.6501
2014-09	0.7062	0.9924	0.0076	0.2938	0.9640	0.9113	0.7957
2014-10	0.6401	0.9933	0.0067	0.3599	0.9585	0.9125	0.7524
2014-11	0.7241	0.9940	0.0060	0.2759	0.9672	0.9297	0.8141
