date	TPR	TNR	FPR	FNR	ACC	PREC	F1
2012-12	0.9925	0.9998	0.0002	0.0075	0.9991	0.9980	0.9952
2013-01	0.9340	0.9944	0.0056	0.0660	0.9884	0.9492	0.9415
2013-02	0.9031	0.9969	0.0031	0.0969	0.9874	0.9698	0.9353
2013-03	0.8249	0.9931	0.0069	0.1751	0.9762	0.9298	0.8742
2013-04	0.8766	0.9983	0.0017	0.1234	0.9861	0.9827	0.9266
2013-05	0.8942	0.9970	0.0030	0.1058	0.9868	0.9707	0.9309
2013-06	0.8728	0.9964	0.0036	0.1272	0.9840	0.9641	0.9161
2013-07	0.8972	0.9969	0.0031	0.1028	0.9869	0.9701	0.9322
2013-08	0.8471	0.9927	0.0073	0.1529	0.9782	0.9276	0.8855
2013-09	0.8360	0.9962	0.0038	0.1640	0.9801	0.9609	0.8941
2013-10	0.8196	0.9947	0.0053	0.1804	0.9771	0.9446	0.8777
2013-11	0.7455	0.9953	0.0047	0.2545	0.9704	0.9462	0.8339
2013-12	0.6112	0.9938	0.0062	0.3888	0.9555	0.9159	0.7332
2014-01	0.7079	0.9949	0.0051	0.2921	0.9665	0.9382	0.8069
2014-02	0.7838	0.9951	0.0049	0.2162	0.9741	0.9463	0.8575
2014-03	0.7227	0.9909	0.0091	0.2773	0.9643	0.8970	0.8004
2014-04	0.7864	0.9925	0.0075	0.2136	0.9720	0.9202	0.8480
2014-05	0.8270	0.9884	0.0116	0.1730	0.9723	0.8877	0.8562
2014-06	0.6727	0.9862	0.0138	0.3273	0.9549	0.8438	0.7486
2014-07	0.6513	0.9913	0.0087	0.3487	0.9573	0.8929	0.7532
2014-08	0.6250	0.9915	0.0085	0.3750	0.9551	0.8908	0.7346
2014-09	0.7133	0.9929	0.0071	0.2867	0.9652	0.9177	0.8027
2014-10	0.6585	0.9893	0.0107	0.3415	0.9567	0.8703	0.7497
2014-11	0.7972	0.9915	0.0085	0.2028	0.9723	0.9118	0.8506
2014-12	0.7302	0.9953	0.0047	0.2698	0.9689	0.9449	0.8238
2015-01	0.7552	0.9969	0.0031	0.2448	0.9734	0.9627	0.8464
2015-02	0.8755	0.9946	0.0054	0.1245	0.9830	0.9462	0.9095
2015-03	0.8238	0.9971	0.0029	0.1762	0.9806	0.9676	0.8899
2015-04	0.8929	0.9969	0.0031	0.1071	0.9871	0.9675	0.9287
2015-05	0.8423	0.9947	0.0053	0.1577	0.9809	0.9397	0.8884
2015-06	0.8359	0.9973	0.0027	0.1641	0.9824	0.9695	0.8978
2015-07	0.7589	0.9968	0.0032	0.2411	0.9733	0.9628	0.8488
2015-08	0.6830	0.9971	0.0029	0.3170	0.9662	0.9631	0.7992
2015-09	0.5809	0.9951	0.0049	0.4191	0.9548	0.9272	0.7143
2015-10	0.6000	0.9942	0.0058	0.4000	0.9565	0.9164	0.7252
2015-11	0.2766	0.9958	0.0042	0.7234	0.9252	0.8766	0.4206
2015-12	0.3119	0.9951	0.0049	0.6881	0.9290	0.8721	0.4594
2016-01	0.7500	0.9973	0.0027	0.2500	0.9755	0.9646	0.8439
2016-02	0.8802	0.9953	0.0047	0.1198	0.9852	0.9479	0.9128
